visualName values
areaChart
barChart
basicShape
card
clusteredBarChart
clusteredColumnChart
columnChart
comboChart
donutChart
filledMap
funnel
gauge
hundredPercentStackedBarChart
hundredPercentStackedColumnChart
image
kpi
lineChart
lineClusteredColumnComboChart
lineStackedColumnComboChart
map
multiRowCard
pieChart
pivotTable
ribbonChart
scatterChart
shapeMap
slicer
stackedAreaChart
tableEx
treemap
waterfallChart
